DATE                            DNS_Q_typeA    DNS_R_NXDOMAIN
----------------------------  -------------  ----------------
Sun Jun 25 11:05:31 PDT 2023           4491              4489
Sun Jun 25 11:05:51 PDT 2023           4491              4489
Sun Jun 25 11:06:11 PDT 2023           6161              6159
Sun Jun 25 11:06:32 PDT 2023           6692              6690
Sun Jun 25 11:06:52 PDT 2023           6984              6981
Sun Jun 25 11:07:12 PDT 2023           7262              7260
Sun Jun 25 11:07:32 PDT 2023           7757              7755
Sun Jun 25 11:07:53 PDT 2023           8266              8264
Sun Jun 25 11:08:13 PDT 2023           8730              8728
Sun Jun 25 11:08:33 PDT 2023           9264              9262
Sun Jun 25 11:08:53 PDT 2023           9389              9387
Sun Jun 25 11:09:14 PDT 2023           9920              9918
Sun Jun 25 11:09:34 PDT 2023          10354             10352
Sun Jun 25 11:09:54 PDT 2023          10865             10863
Sun Jun 25 11:10:14 PDT 2023          11365             11363
Sun Jun 25 11:10:35 PDT 2023          11848             11846
Sun Jun 25 11:10:55 PDT 2023          11960             11958
Sun Jun 25 11:11:15 PDT 2023          12448             12446
Sun Jun 25 11:11:35 PDT 2023          12932             12930
Sun Jun 25 11:11:56 PDT 2023          13436             13434
Sun Jun 25 11:12:16 PDT 2023          13982             13978
Sun Jun 25 11:12:36 PDT 2023          14137             14132
Sun Jun 25 11:12:57 PDT 2023          14612             14607
Sun Jun 25 11:13:17 PDT 2023          15070             15065
Sun Jun 25 11:13:37 PDT 2023          15520             15515
Sun Jun 25 11:13:57 PDT 2023          16224             16219
Sun Jun 25 11:14:18 PDT 2023          16384             16379
Sun Jun 25 11:14:38 PDT 2023          16778             16773
Sun Jun 25 11:14:58 PDT 2023          17307             17302
Sun Jun 25 11:15:18 PDT 2023          17838             17833
Sun Jun 25 11:15:39 PDT 2023          18334             18329
Sun Jun 25 11:15:59 PDT 2023          18847             18842
Sun Jun 25 11:16:19 PDT 2023          18993             18988
